Raman peaks (cm−1),Assignment,Vibrational mode,Strength,PMID
1321,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1321,"Trp, α helix, Phospholipids",,,36239879
1321,Collagen assignment; Amide III,,,36832007
1322,"Collagen, tryptophan",CH3CH2 twisting ," medium,shoulder",21747512
1322,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1322,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1322,"Trp, α helix, Phospholipids",,,36239879
1323,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1323,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1323,"Trp, α helix, Phospholipids",,,36239879
1324,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1324,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1324,Collagen and purine bases of DNA ,,,32508914
1324,"Trp, α helix, Phospholipids",,,36239879
1325,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1325,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1325,"Trp, α helix, Phospholipids",,,36239879
1326,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1326,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1326,"Trp, α helix, Phospholipids",,,36239879
1327,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1327,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1327,"Trp, α helix, Phospholipids",,,36239879
1328,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1328,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1328,"Lipids, CH vibration in DNA/RNA",CH2 twist vibration,,30666105
1328,"Trp, α helix, Phospholipids",,,36239879
1329,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1329,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1329,"Trp, α helix, Phospholipids",,,36239879
1330,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1330,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1330,"Trp, α helix, Phospholipids",,,36239879
1331,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1331,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1331,"Trp, α helix, Phospholipids",,,36239879
1332,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1332,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1332,"Trp, α helix, Phospholipids",,,36239879
1333,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1333,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1333,"Trp, α helix, Phospholipids",,,36239879
1334,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1334,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1334,"Trp, α helix, Phospholipids",,,36239879
1335,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1335,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1335,"Trp, α helix, Phospholipids",,,36239879
1336,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1336,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1336,A,,,30899639
1336,"Trp, α helix, Phospholipids",,,36239879
1337,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1337,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1337,CH3CH2 wagging vibrations of collagen,,,32531903
1337,"Trp, α helix, Phospholipids",,,36239879
1338,"Protein, A and G of DNA/RNA ",CH2 Deformation ,,23154776
1338,CH2 deformation,,,23448574
1338,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1338,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1338,"Trp, α helix, Phospholipids",,,36239879
1339,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1339,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1339,"Trp, α helix, Phospholipids",,,36239879
1340,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1340,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1340,"Trp, α helix, Phospholipids",,,36239879
1341,"Trp, α helix, Phospholipids",,,36239879
1342,Polynucleotide chain (DNA/RNA) ,,strong,20223058
1342,"Trp, α helix, Phospholipids",,,36239879
1343,"Trp, α helix, Phospholipids",,,36239879
1344,"Trp, α helix, Phospholipids",,,36239879
1345,"Trp, α helix, Phospholipids",,,36239879
1354,G ring str.,,,30899639
1355,"Collagen (protein assignment)",,,36832007
1358,"Trp., mitochondria, CYTc ",CH3─(C═O),,23154776
1358,"CH3-(C=O), strong than hydrocarbons",,,23448574
1360,Tryptophan,," medium,broad",21747512
1360,,C─C aromatic stretching, very strong,29981226
1369,"Trp, porphyrins, lipids, G, T, protein",,,22502575
1378,"T, A, G of DNA ",CH3 in-phase deformation ,,23154776
1378,CH3 in-phase deformation,,,23448574
1378,"G, A, T",,,30899639
1402,Phospholipids,C─C  stretching," medium,shoulder",21747512
1405,Glutathione,,,36239879
1417,C=C stretching in quinoid ring ,,,32508914
1421,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1422,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1423,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1424,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1425,CH3 deformation,,shoulder,20223058
1425,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1426,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1427,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1428,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1428,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1429,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1429,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1430,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1430,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1431,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1431,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1432,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1432,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1433,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1433,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1434,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1434,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1435,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1435,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1436,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1436,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1437,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1437,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1438,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1438,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1439,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1439,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1440,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1440,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1441,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1441,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1442,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1442,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1443,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1443,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1444,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1444,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1445,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1445,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1445,lipids and proteins,,,32531903
1446,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1446,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1446,"CH2 bending mode of proteins, lipids, and some amino acid",,,36227878
1447,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1447,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1447,"Collagen, phospholipids",bυ(C-H2 ),,30666105
1448,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1448,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1448,"Protein, Lipid","CH2 bending, deformed, swing",,24710050
1448,Collagen (protein assignment),,,36832007
1449,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1449,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1449,"Phospholipid, C-H scissor in CH2",,,36239879
1449,Collagen (protein assignment),,,36832007
1450,CH2 deformation in lipids,,very strong,20223058
1450,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1450,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1451,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1451,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1452,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1452,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1453,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1453,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1454,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1454,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1455,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1455,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1456,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1456,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1457,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1457,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1458,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1458,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1459,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1459,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1460,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1460,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1461,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1461,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1462,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1462,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1463,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1463,"CH2 bending, (CH)3 out-of-phase deformation",,,23448574
1464,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1465,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1466,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1467,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1468,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1469,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1470,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1471,"Lipid, protein ","(CN) bending, (CH)3  bending out-of-phase deformation ",,23154776
1478,"DNA/RNA (adenine, guanine)",Ring breathing mode,,34743445
1479,Amide II,,,32508914
1484,"C, A, T",,,30899639
1500,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1501,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1502,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1503,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1504,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1505,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1506,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1507,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1508,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1509,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1509,,C─C aromatic stretching, very strong,29981226
1510,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1511,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1512,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1513,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1514,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1515,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1516,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1517,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1517,β-carotene accumulation ,,,32508914
1518,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1519,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1520,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1521,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1521,"Amide II, shift to 1548",,,23448574
1522,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1523,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1523,β-carotene,,,36239879
1524,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1524,C = C stretching mode of beta-carotene,,,36227878
1525,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1526,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1527,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1527,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1527,Carotenoid,C-C stretch,,24710050
1528,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1529,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1530,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1531,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1531,"Carotenoid, absent from normal tissues ",,,32508914
1532,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1533,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1534,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1535,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1536,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1537,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1538,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1539,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1540,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1541,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1542,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1543,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1544,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1545,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1546,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1547,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1548,"Trp, cytochrome c, δ and ν coupled out-of-phase, NADH","Amide II, in plane (N─H) bending: 60%;  (C─N)stretch:40%;",,23154776
1548,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1548,"Amide II, in plane N-H bending",,,23448574
1549,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1550,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1550,"C, G",,,30899639
1551,Tryptophane ,,weak,20223058
1551,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1551,,-NO2 asymmetric stretch,,24710050
1552,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1553,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1554,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1555,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1556,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1556,Trp,,,36239879
1557,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1557,Amide II (N–H bend + C–N stretch),,,32531903
1558,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1559,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1560,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1560,Tryptophan ,,,32508914
1561,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1562,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1563,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1564,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1565,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1566,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1566,Amide I (C=O stretch),,,32531903
1567,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1568,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1569,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1570,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1571,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1572,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1573,DNA/RNA bases ,C─C6H5 stretching,weak,21747512
1573,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1574,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1574,,N─H in-plane bend, medium,29981226
1575,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1575,A ring str.,,,30899639
1576,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1577,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1578,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1579,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1580,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1581,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1582,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1583,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1584,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1584,Acetoacetate,C=C bending vibration,,30666105
1585,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1585,Unsaturated fatty acid,C=C Lipid stretch,,24710050
1585,CN2 scissoring and NH2 rock of mitochondria and phosphorylated proteins,,,32531903
1586,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1587,"Trp, mitochondria, NADH","C─C stretching, C─H bending ",,23154776
1587,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1587,"Protein, Tyr",,,36239879
1588,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1589,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1589,"C-C stretching, C-H bending",,,23448574
1590,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1591,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1592,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1593,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1594,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1595,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1596,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1597,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1598,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1599,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1600,"parallel β-sheet, protein, tryp., carotenoid ","Amide II, Shift to 1548, (C═C) stretch",,23154776
1603,"Tyr, Phe",,,36239879
1605,"Phe., tyr.","CO stretching, C═C bending ",,23154776
1605,"CO stretching, C=C bending",,,23448574
1605,"Phenylalanine, tyrosine",C=C Aromatic compound stretch,,24710050
1606,C=C phenylalanine ,,weak,20223058
1617,Porphyrin and tryptophan,C=C stretch,,24710050
1620,"Tyr, Trp C=C str",,,36239879
1634,Amide I,,,32508914
1636,carboxyl vibration,,,30899639
1639,protein,Amide I in α-helix,,23154776
1639,Amide I in α-helix,,,23448574
1640,Protein,"Amino compounds I, a helix",,24710050
1641,Protein,"Amino compounds I, a helix",,24710050
1642,Protein,"Amino compounds I, a helix",,24710050
1643,Protein,"Amino compounds I, a helix",,24710050
1644,Protein,"Amino compounds I, a helix",,24710050
1645,Protein,"Amino compounds I, a helix",,24710050
1646,Protein,"Amino compounds I, a helix",,24710050
1647,Protein,"Amino compounds I, a helix",,24710050
1648,Protein,"Amino compounds I, a helix",,24710050
1649,Protein,"Amino compounds I, a helix",,24710050
1650,Protein,"Amino compounds I, a helix",,24710050
1650,,C─C aromatic stretching , very strong,29981226
1651,Protein,"Amino compounds I, a helix",,24710050
1652,Protein,"Amino compounds I, a helix",,24710050
1653,Protein,"Amino compounds I, a helix",,24710050
1654,Protein,"Amino compounds I, a helix",,24710050
1654,"Proteins, Amide I, α helix, Phospholipids",,,36239879
1655,"Amide I, α-helix ",C═O stretching,strong,21747512
1655,Protein,"Amino compounds I, a helix",,24710050
1656,Amide I unordered,,,23448574
1656,Protein,"Amino compounds I, a helix",,24710050
1657,Protein,"Amino compounds I, a helix",,24710050
1658,Protein,"Amino compounds I, a helix",,24710050
1659,Protein,"Amino compounds I, a helix",,24710050
1660,Protein,"Amino compounds I, a helix",,24710050
1660,Amide I,C=C stretching vibration:(β-pleated sheet),,30666105
1661,Protein,"Amino compounds I, a helix",,24710050
1662,Protein,"Amino compounds I, a helix",,24710050
1663,Protein,"Amino compounds I, a helix",,24710050
1664,Protein,"Amino compounds I, a helix",,24710050
1665,Amide I: α helix ,,very strong,20223058
1665,Protein,"Amino compounds I, a helix",,24710050
1666,Protein,"Amino compounds I, a helix",,24710050
1666,"Protein (α-helix), lipid (fatty acid), DNA/RNA (thymine)","C═O stretch, Amide I",,34743445
1667,"Salt environment effect, Unordered or random structure, Collagen IV, I","Amide I, β-sheet, stretch(C═O) 80%",,23154776
1667,Protein,"Amino compounds I, a helix",,24710050
1668,Protein,"Amino compounds I, a helix",,24710050
